date,y_true,n_train,pred_ar_benchmark,pred_elasticnet,pred_lightgbm
2006-01-31,0.11814621618808419,212,0.12704030691966905,0.18810180173276358,0.16535089939290704
2006-02-28,0.10361220913244251,213,0.15713674111401793,0.14563104109485,0.1805570424436948
2006-03-31,0.09141031217680884,214,0.0875394244909574,0.11756449372374421,0.09736951958335957
2006-04-30,0.09531307396761135,215,0.10203384886741515,0.1377671831856936,0.14587280631515148
2006-05-31,0.1048054249111412,216,0.12908332590686733,0.1792798305478317,0.10743099681230528
2006-06-30,0.0898051367338597,217,0.14147205345445896,0.09385796591821101,0.08816386857622666
2006-07-31,0.09273758254558562,218,0.1736517687571953,0.13353802014551763,0.14463960439812934
2006-08-31,0.04484481717251598,219,0.1504914421999149,0.11227007828490562,0.13047985854350128
2006-09-30,0.033525855198543786,220,0.1704441694816844,0.1185620239107009,0.034273482670055505
2006-10-31,0.023353204485650814,221,0.10589000890339717,0.1122063094000916,0.07735040995023504
2006-11-30,0.02524118473955972,222,0.07493129589062529,0.09660118316793179,0.021277238690740486
2006-12-31,0.009479377308636128,223,0.1244721980372371,0.08978966486031226,-0.01573168835181244
2007-01-31,0.022541468823360278,224,0.15569340790191244,0.08128981405387181,0.004181639885469119
2007-02-28,0.049668310881955335,225,0.0938773269716733,0.009637723383609645,-0.05267576905279141
2007-03-31,0.058974071190985855,226,0.11278195531746336,0.02752766017372975,0.03815449013712164
2007-04-30,0.0480588452904005,227,0.00010184927850646897,-0.09308961967603735,-0.044433322660365024
2007-05-31,0.02554285032742909,228,0.031370703771011324,0.020537688536856794,0.04767902691331494
2007-06-30,0.02466015567012425,229,0.07872499331324911,0.045736902024984746,0.13845842980289588
2007-07-31,-0.00044625047639623716,230,0.10014915947193533,0.059025696309368936,0.07605838051021391
2007-08-31,0.010200354995293148,231,0.06410449387115445,-0.02659229239866523,0.061305729589602634
2007-09-30,0.028173126541467752,232,0.11727098519872729,0.05199234246893569,0.07834751541967576
2007-10-31,0.04082523923726278,233,0.19059474903925866,0.06502749311494443,0.10311289482854628
2007-11-30,0.05653748857443919,234,0.15574955478127675,0.08636382300721739,0.10935537659853414
2007-12-31,0.08007741733572526,235,0.08299003685212958,0.06407343016120909,0.16475634064665204
2008-01-31,0.07677925187093093,236,0.03327653739554818,-0.015107263520219655,0.028774099008181012
2008-02-29,0.05471772679029496,237,0.07894951799746486,-0.07844742543322689,0.12347363030101828
2008-03-31,0.015703791839226655,238,0.03852312910832897,-0.07294212397413147,0.024955539974389353
2008-04-30,-0.02323459668933281,239,0.09748166129607158,-0.05486347308302861,0.08692999742658396
2008-05-31,-0.09747623154107876,240,0.16016494685737856,0.05308076429270628,0.13088552172699272
2008-06-30,-0.21880073131940747,241,0.14947666518672054,0.03538043913905467,0.05215764888819084
2008-07-31,-0.2880817833134196,242,0.15358897230536103,0.06391989759103468,0.1221572261969872
2008-08-31,-0.30637459919112664,243,0.18202792006887286,0.06335751929388204,0.09331981522847667
2008-09-30,-0.3042465376227339,244,0.12412320934994645,-0.0014874793538981468,0.03633673907470472
2008-10-31,-0.24895052736256507,245,0.045914187046943916,-0.06842577590973184,-0.061403782647555874
2008-11-30,-0.22173612025191858,246,-0.016911207385252605,-0.12027726822856552,-0.07453786797920968
2008-12-31,-0.18937497118518565,247,-0.040236634669460564,-0.2624526362241911,-0.15194643833064186
2009-01-31,-0.1695558957538721,248,-0.14050332387693612,-0.48876642955723637,-0.3445892406651276
2009-02-28,-0.1466081822000178,249,-0.31945980936981166,-0.6229852664456325,-0.3643089023656253
2009-03-31,-0.08703524953268016,250,-0.2561778129973611,-0.5713512028698879,-0.3494022683449361
2009-04-30,-0.023469948736117074,251,-0.08709109050503538,-0.45870129787854036,-0.17680325697587151
2009-05-31,0.08832111962385536,252,-0.0010965192448551542,-0.41659980879161335,-0.19022833443166273
2009-06-30,0.28853541492892476,253,0.14211659321854478,-0.2198851702092629,-0.018508317335426676
2009-07-31,0.4650272774046367,254,0.1265267139435976,-0.27690180121288677,-0.06398182897870518
2009-08-31,0.5720932256221436,255,0.1063541701295546,-0.16877494243351518,0.007918285259742888
2009-09-30,0.5972846446661593,256,0.09317876401269669,-0.043081417084575344,0.04876252179302219
