feature,gain,gain_share,family
wsts_worldwide__yoy_z,62.304814028088,0.24558933324853577,wsts
wsts_asia_pacific__yoy_z,42.01697803492425,0.16561997305799653,wsts
cycle_factor__chg6,39.77039064723067,0.15676451128935207,cycle
fred_nasdaq_composite__yoy,13.143060053698719,0.051806516170294505,fred
fred_nasdaq_composite__yoy_z,10.756844966381323,0.042400678412433855,fred
wsts_asia_pacific__yoy,9.920671146013774,0.03910469921359748,wsts
px_MRVL__mom12,5.797147662611678,0.022850844696563496,px
fred_total_business_inv_to_sales__yoy_z,3.63375448633451,0.0143233128195432,fred
cycle_factor__chg3,3.610284026362933,0.014230798385379936,cycle
fred_ip_semiconductors_us__mom3,2.983112325426191,0.011758651051853398,fred
px_MU__mom12,2.9829709517071024,0.01175809379351066,px
fred_total_business_inv_to_sales__mom3,2.9749057111912407,0.011726302718106974,fred
wsts_europe__yoy_z,2.847668200265616,0.011224765622460718,wsts
wsts_americas__yoy_z,2.8470998935226817,0.0112225255054448,wsts
px_LRCX__mom12,2.517395857605152,0.009922918153855017,px
fred_ppi_semiconductors__mom3,2.328689519141335,0.00917908696575118,fred
px_TSM__mom12,2.311072022886947,0.009109643388619672,px
px_AMD__mom6,1.9842985612340271,0.00782158759674334,px
fred_ip_semiconductors_us__yoy,1.958392977307085,0.007719474538815527,fred
fred_new_orders_computers_electronics__yoy_z,1.8868788533727638,0.00743758450689977,fred
