feature,gain,gain_share,family
wsts_worldwide__yoy,159.6852591338975,0.6256283806573086,wsts
wsts_worldwide__yoy_z,50.45741046196781,0.1976862997292215,wsts
wsts_asia_pacific__yoy,9.56338172746473,0.03746822378103512,wsts
cycle_factor,7.438049933407456,0.02914141956699927,cycle
target_pit,3.392684095830191,0.013292143986667317,target
fred_nasdaq_composite__yoy_z,2.4342201293475227,0.009536992994513887,fred
wsts_europe__yoy_z,2.397649217164144,0.009393712389325007,wsts
wsts_asia_pacific__yoy_z,2.2918613356887363,0.008979247702104688,wsts
fred_new_orders_computers_electronics__yoy_z,2.070136879745405,0.008110556922026899,fred
wsts_americas__yoy,1.5556752411066554,0.006094955709757315,wsts
cycle_factor__chg6,1.505072421816294,0.0058966997150522735,cycle
cycle_factor__chg3,1.238153381535085,0.004850941779451522,cycle
fred_total_business_inv_to_sales__yoy_z,1.0973927931045182,0.004299458070323786,fred
fred_nasdaq_composite__yoy,0.8698382748989388,0.0034079257804407437,fred
wsts_europe__mom3,0.6690003122057533,0.002621065865782672,wsts
wsts_americas__yoy_z,0.6610520323156379,0.002589925424243893,wsts
twrev_Nanya_Technology__yoy,0.5082099276187364,0.0019911077313872396,twrev
fred_ip_semiconductors_us__mom3,0.42785013451066334,0.0016762673541048019,fred
px_LRCX__mom12,0.32375912510906346,0.0012684508154579752,px
wsts_japan__mom3,0.2556829088134691,0.0010017360717597048,wsts
