model,MAE,RMSE,skill_vs_AR,dir_acc,turn_acc,corr,MAE_turns,turn_acc_turns
lightgbm,0.0722,0.0989,0.035,0.8523,0.4915,0.7575,0.0908,0.5128
ar_benchmark,0.0748,0.107,0.0,0.8186,0.4237,0.729,0.1065,0.4103
elasticnet,0.0781,0.1255,-0.0438,0.8186,0.4958,0.7032,0.1096,0.4872
