date,y_true,n_train,pred_ar_benchmark,pred_elasticnet,pred_lightgbm
2006-01-31,0.06943829464200557,218,0.07821684879921265,0.18605478907058953,0.07282550857752676
2006-02-28,0.07152257485642544,219,0.10995501209266353,0.22645557528516294,0.1572894684511311
2006-03-31,0.07309168663691668,220,0.05522935410396487,0.2475615515021765,0.05414078143005919
2006-04-30,0.08096495398759185,221,0.07145852094290243,0.12249652006970738,0.08295884348950909
2006-05-31,0.09749045751926055,222,0.08562832659967962,0.051929414120634065,0.13587586065994461
2006-06-30,0.10148365555500716,223,0.09686992111599169,0.23090359509113517,0.03639681959489386
2006-07-31,0.11814621618808419,224,0.1264751254107209,0.10889952260927765,0.10970745614243153
2006-08-31,0.10361220913244251,225,0.1137469572361908,0.20132430752394598,0.10895404538224594
2006-09-30,0.09141031217680884,226,0.14074228190890375,0.07723648997314701,0.05553107059242669
2006-10-31,0.09531307396761135,227,0.09050195562352606,0.1732180278584261,0.043290695994765246
2006-11-30,0.1048054249111412,228,0.06933388436424663,0.12818505248885162,0.09709371610385457
2006-12-31,0.0898051367338597,229,0.1039226762267198,0.25165881944485924,0.08431237649128405
2007-01-31,0.09273758254558562,230,0.125046245819044,0.0932347297752533,0.10531658187667368
2007-02-28,0.04484481717251598,231,0.07472443060508534,0.18178283928089245,0.041982590759992736
2007-03-31,0.033525855198543786,232,0.093493186668478,0.06929457137623053,0.07732652067685636
2007-04-30,0.023353204485650814,233,-0.010116170284219902,-0.19814283184750886,-0.027757636070287948
2007-05-31,0.02524118473955972,234,0.010040659150301015,-0.09788356861442712,0.012507303580431901
2007-06-30,0.009479377308636128,235,0.025996440384920057,-0.051896823924854896,0.06049188534368642
2007-07-31,0.022541468823360278,236,0.036291210984310415,-0.02830017948431293,-0.00594521208062472
2007-08-31,0.049668310881955335,237,0.0012986843139037082,-0.06067393922505804,-0.014773159254171796
2007-09-30,0.058974071190985855,238,0.044576799950305335,0.05693888766739855,0.09659053527752105
